Post_Content,Requirement_Category,Poster_Name,Poster_Designation,Poster_Company,Post_URL,Collection_Timestamp
... plastic waste. RVMs were installed in the stadiums where ICC Men's ... #plasticwaste #disposal #recycle. No alternative text description for this ...,A-Plastic Waste,The Coca-Cola Company's Post,,,https://www.linkedin.com/posts/the-coca-cola-company_worldwithoutwaste-circulareconomy-recycling-activity-7200825257811718145-sj5s,2024-11-23 23:43:23
From Trash to Treasure: Innovators Reshaping Australia's Plastic Landscape We contribute significantly to plastic usage and Earth's pollution. For example…,A-Plastic Waste,The enviro-tech pioneers trying to shift Australia off plastics,,,https://www.linkedin.com/posts/san-murugesan-60700a9_the-enviro-tech-pioneers-trying-to-shift-activity-7188024985448333315-T_IC,2024-11-23 23:43:23
I believe our priority today should be finding solutions for microplastics and protecting animals on land and in water from plastic pollution.,A-Plastic Waste,RAJESH PAHWA 🇮🇳 on LinkedIn: #plastic #recycling ...,,,https://www.linkedin.com/posts/rajeshpahwa_plastic-recycling-environment-activity-7231185282698518528-dpva,2024-11-23 23:43:23
"This project showcases the potential for plastics recycling in Indonesia, while the certified blue loan aims to attract more investors into waste management ...",A-Plastic Waste,ALBA Group Asia's Post,,,https://www.linkedin.com/posts/albagroupasia_alba-tridi-plastics-recycling-indonesia-welcomes-activity-7214824716409171968-z4K1,2024-11-23 23:43:23
"TL;DR: I'm launching something new—Matched Materials. I f*cking hate plastics. Whenever I walk down a store aisle packed full of plastic, I feel exhausted ...",A-Plastic Waste,Daniel Westcott on LinkedIn: Matched Materials,,,https://www.linkedin.com/posts/daniel-j-westcott_matched-materials-activity-7241264534705868800-5QwG,2024-11-23 23:43:23
"My guest column in today's Odia NewsPaper Prameya “ଏ.ଆଇ. ଏବଂ ପ୍ଲାଷ୍ଟିକ ବର୍ଜ୍ୟବସ୍ତୁ ପରିଚାଳନା (AI & Plastic Waste Management)”, If interest, may please read &…",A-Plastic Waste,Dr. Piyush Ranjan Rout,,,https://www.linkedin.com/posts/dr-piyush-ranjan-rout-9681027_urbanplanning-plasticwaste-artificialinteligence-activity-7223586061300461569-CQBR,2024-11-23 23:43:23
... plastic waste. This initiative follows our successful ... ♻️ #Sustainability #Recycling #Collaboration #Valipac #Valorlux #PlasticWaste #CircularEconomy.,A-Plastic Waste,sustainability #recycling #collaboration #valipac #valorlux ...,,,https://www.linkedin.com/posts/val-i-pac_sustainability-recycling-collaboration-activity-7257692816959574016-thDC,2024-11-23 23:43:24
You've done incredible work understanding plastic recycling costs and optimizing lits operations. This gives a fairer Extended Producer Responsibility (EPR) ...,A-Plastic Waste,Irdanto Saputra Lase's Post,,,https://www.linkedin.com/posts/irdantosaputra_exposing-the-pitfalls-of-plastics-mechanical-activity-7236623333151117312-BAaj,2024-11-23 23:43:24
We had a great time connecting with everyone at Plastics Recycling LATAM! Thank you for making the event a success and for your continued support. At the…,A-Plastic Waste,Nexeo Plastics' Post,,,https://www.linkedin.com/posts/nexeoplastics_sustainability-plasticsrecyclinglatam-activity-7240115681197703168-RH5k,2024-11-23 23:43:24
Map shows the quantity of plastic waste generated in Indian states. The first map shows the numbers based on total plastic waste generated per capita and ...,A-Plastic Waste,Jyoti Singh on LinkedIn: #map #earthday #planetvsplastic,,,https://www.linkedin.com/posts/jyotisingh26_map-earthday-planetvsplastic-activity-7188099584831688704-aJs1,2024-11-23 23:43:24
"Today, October 28th, 2024, marked the start of the 2-day ASEAN Conference for Combating Plastic Pollution (ACCPP). This event brought together key ...",A-Plastic Waste,Regional Knowledge Centre for Marine Plastic Debris' Post,,,https://www.linkedin.com/posts/regional-knowledge-centre-for-marine-plastic-debris_asean-conference-plasticpollution-activity-7256635182256934912-m08F,2024-11-23 23:43:24
"The Ocean's Secret Plastic Eaters Scientists have discovered fungus that can eat plastic! Deep beneath the ocean's surface, something extraordinary is…",A-Plastic Waste,Pir Arkam's Post,,,https://www.linkedin.com/posts/pirarkam_the-oceans-secret-plastic-eaters-scientists-activity-7238148955534950401-9i3P,2024-11-23 23:43:24
Be part of the movement towards a sustainable future! Exhibit at The Global Conclave on Plastic Recycling and Sustainability and showcase your innovative…,A-Plastic Waste,The All India Plastics Manufacturers Association's Post,,,https://www.linkedin.com/posts/the-all-india-plastics-manufacturers-association_plasticrecycling-sustainability-globalconclave-activity-7162730828962164736-EUED,2024-11-23 23:43:24
The CII Conference on #Sustainability & #Plastics will focus on the crucial challenges and innovative solutions in the plastics industry.,A-Plastic Waste,CII Conference on Sustainability & Plastics,,,https://www.linkedin.com/posts/ashneet-gahlawat-0803_sustainability-plastics-sustainability-activity-7217166905919381507-ZUO1,2024-11-23 23:43:24
Let's Get Serious About Plastic Recycling! ♻️ Recycling plastic is one of the easiest ways to help our planet. Join us at Nashik Waste Management…,A-Plastic Waste,Nashik Waste Management Pvt. Ltd. posted on the topic,,,https://www.linkedin.com/posts/nashik-waste-management-pvt-ltd_plasticrecycling-recycleright-nashikgoesgreen-activity-7213911808493965312-tFSD,2024-11-23 23:43:24
"I appreciate the printing of the recycle value of plastic bottle rail neer, packaged drinking water served by IRCTC.Can we say a sustainable solution for use of ...",A-Plastic Waste,Dr SM Yadav's Post,,,https://www.linkedin.com/posts/dr-s-m-yadav-682b2591_the-recycle-value-of-this-plastic-bottle-activity-7205056427139174400-xVjY,2024-11-23 23:43:24
"glass is not like plastics…but paper really how come it is sustainable when they cut trees…even one say recycled paper do they at what is cost for recycle, ...",A-Plastic Waste,CNBC-TV18's Post,,,https://www.linkedin.com/posts/cnbc-tv18_alcohol-johniewalker-green-activity-7255601284366356480-OX05,2024-11-23 23:43:24
Big congratulations to Mark Victory for the launch of the Recycled Polyolefin Agglomerates price this week as part of the ICIS Mixed Plastic Waste…,A-Plastic Waste,Matt Tudball on LinkedIn: ICIS launches Europe recycled ...,,,https://www.linkedin.com/posts/matttudball_icis-launches-europe-recycled-polyolefin-activity-7247252963059011588-X0SS,2024-11-23 23:43:24
They are influential. Laws designed to hold polluters responsible for plastic waste have been pushed back due to industry lobbying. Singapore's sustainability ...,A-Plastic Waste,Robin Hicks' Post,,,https://www.linkedin.com/posts/robin-hicks-328a362_on-a-poster-promoting-singaporespublic-activity-7201404228479692800-53C-,2024-11-23 23:43:24
"#WWF #EPR #Sustainability #CircularEconomy #PlasticWaste Thank you to all that joined! Soohyun Jessica Jun, Jessica Chia, Yumi Nishikawa Reska Fadila ...",A-Plastic Waste,Lucy Polhill's Post,,,https://www.linkedin.com/posts/lucy-polhill-a2815a133_wwf-epr-sustainability-activity-7255572956888625152-BgtD,2024-11-23 23:43:24
So Manuel Häußler is solving plastic for us. What did you do this summer? Look at this 100% recyclable plastic material made out of... larvae juice?? In…,A-Plastic Waste,Carla Ostmann's Post,,,https://www.linkedin.com/posts/carla-ostmann-36595316a_so-manuel-h%C3%A4u%C3%9Fler-is-solving-plastic-for-activity-7244585668079697921-C9QU,2024-11-23 23:43:24
... #plasticrecycling #recycler #plasticwaste #waste #wastemanagement. No alternative text description for this image. 20 · Like Comment. Share. Copy; LinkedIn,A-Plastic Waste,Let's Recycle It Limited's Post,,,https://www.linkedin.com/posts/lets-recycle-it-limited_plasticrecycling-recycler-plasticwaste-activity-7181218804583018496-pkLt,2024-11-23 23:43:24
"Tackling Improper Waste Management in Masaka Town Masaka Town Council faces serious waste management issues, with plastics, polythene, and household waste…",A-Plastic Waste,james kwikiriza's Post,,,https://www.linkedin.com/posts/james-kwikiriza-a98029298_tackling-ngni-plasticwaste-activity-7263247799931076608-PEeb,2024-11-23 23:43:24
"This is a significant move to reduce the use of virgin plastic by Aldi UK. By reducing our reliance on virgin plastic, we're not just minimizing ...",A-Plastic Waste,Ramniwas M.'s Post,,,https://www.linkedin.com/posts/ramniwasmeena_aldi-switches-to-100-recycled-plastic-bottles-activity-7189883941418332160-6YiS,2024-11-23 23:43:24
"This post shall be on Plastic Waste Management! Learn about Plastic Waste Management Rules, 2016, Responsibilities under the Rules, 4Rs of Plastic Waste ...",A-Plastic Waste,Centre for Environmental Law Education Research & ...,,,https://www.linkedin.com/posts/ceera_plasticfree-plastic-plasticwaste-activity-7158779924105887744-Tlwt,2024-11-23 23:43:24
Incredibly excited for the launch of Breaking Inc. and to embark on a journey to address the global plastic waste problem. This milestone has been a huge ...,A-Plastic Waste,"Sukanya Punthambaker, Ph.D.'s Post",,,https://www.linkedin.com/posts/sukanya-punthambaker-ph-d-7604144_plastic-degradation-company-breaking-emerges-activity-7186440608645795841-1g_X,2024-11-23 23:43:24
"Did you know that plastic waste is the biggest type of waste in Indonesia? It makes up 18.9% of all waste, according to the National Waste Management…",A-Plastic Waste,Godrej Consumer Products Limited's Post,,,https://www.linkedin.com/posts/godrej-consumer-products-ltd_worldenvironmentday-godrejindonesia-godrejgoodandgreen-activity-7215935209798549504-1wBI,2024-11-23 23:43:24
"Plastic cutting boards may pose several health risks due to bacteria buildup, chemical leaching, and microplastic release.",A-Plastic Waste,Bisrat Hailemeskel's Post,,,https://www.linkedin.com/posts/bisrat-hailemeskel-a7291269_stop-using-plastic-cutting-boards-immediately-activity-7240886031716163584-koLr,2024-11-23 23:43:24
Let's make this world Plastic Pollution free. d2w is the best solution to Plastic Pollution. It biodegrades the plastic into the environment like a leaf…,A-Plastic Waste,Amir Younus' Post,,,https://www.linkedin.com/posts/amir-younus-3a076312_green-environment-healthy-activity-7168049499154714625-HU4u,2024-11-23 23:43:24
"This international treaty has the potential to significantly reduce plastic production, promote responsible waste management, and hold polluters accountable.",A-Plastic Waste,A Turning Point for Global Plastic Pollution Treaty (2024),,,https://www.linkedin.com/posts/plasticsforchange_inc-4-a-turning-point-for-global-plastic-activity-7188524926469914625-lgb-,2024-11-23 23:43:24
"142 injection pens into a plastic chair. Here's one of our plastic experts, Niels, explaining just that – and how we work to avoid waste from our pens ending ...",A-Plastic Waste,Novo Nordisk's Post,,,https://www.linkedin.com/posts/novo-nordisk_novonordisk-drivingchange-recycling-activity-7250052508671197184-mxkO,2024-11-23 23:43:24
"Plastic waste can take anywhere from 20 to 500 years to decompose, and even then, it never fully disappears; it just gets smaller and smaller.",A-Plastic Waste,"Boretech Environmental Engineering Co.,Ltd.'s Post",,,https://www.linkedin.com/posts/boretechrecycling_plastic-boretech-recycling-activity-7213797094350893056-TIi9,2024-11-23 23:43:24
"India's plastic recycling industry is experiencing significant growth, highlighting the nation's commitment to sustainable waste management.",A-Plastic Waste,India's plastic recycling industry grows,,,https://www.linkedin.com/posts/ester-industries-limited-uttarakhand_sustainability-greentech-circulareconomy-activity-7224987298906439681-l006,2024-11-23 23:43:24
"Neste enhances its chemical recycling capabilities by collaborating with Tepsa Netherlands on the storage and handling of liquefied waste plastic in Rotterdam, ...",A-Plastic Waste,Andreas Teir's Post,,,https://www.linkedin.com/posts/andreasteir_neste-strengthens-chemical-recycling-logistics-activity-7247939625925656576-6dcA,2024-11-23 23:43:24
"This week, leaders are negotiating a new Treaty on Global Plastic Pollution in Ottawa No country can tackle plastic pollution alone But…",A-Plastic Waste,EU Environment and Climate's Post,,,https://www.linkedin.com/posts/eu-environment-climate_plasticstreaty-inc4-beatplasticpollution-activity-7188820045186183168-exIN,2024-11-23 23:43:24
Over 8 million tonnes of plastic waste enters the ocean each year. That's equal to one truckload every minute! Learn how you can help to improve the health of ...,A-Plastic Waste,UN Biodiversity on LinkedIn: #didyouknow,,,https://www.linkedin.com/posts/unbiodiversity_didyouknow-activity-7178254353139412992-jMbg,2024-11-23 23:43:24
"NSW's Plastics Ban has expanded from 1 November! NSW is taking bold steps to reduce single-use plastic production and littering. As of this month, ...",A-Plastic Waste,TerraCycle Australia & New Zealand's Post,,,https://www.linkedin.com/posts/terracycle-australia-new-zealand_terracycle-nswplasticsban-australiarecycling-activity-7263457019712421888-w3Dh,2024-11-23 23:43:24
